# key|Russian text. Existing SQLite rows win, so local edits survive updates.
npc.merchant|Торговец: Площадь открыта. Заходи, когда будет что обменять.
npc.cop|Полицейский: Сегодня спокойно. Не мешай прохожим.
npc.near|Подойди ближе к персонажу, чтобы поговорить.
npc.far|Подойди поближе и кликни ещё раз.
save.error|Не удалось сохранить задание. Попробуй ещё раз.
quest.tolya.offer.title|Мозоль Толя: Куча бутылок
quest.tolya.offer.body|Собери 10 бутылок на площади и возвращайся.\nПотом расскажу тебе местную легенду.
quest.tolya.progress.title|Куча бутылок
quest.tolya.progress.body|Бутылок собрано: {count}/{total}. Продолжай искать.
quest.tolya.finish.title|Бутылки собраны
quest.tolya.finish.body|Все десять здесь. Ну ты и прочесал площадь!
quest.tolya.finish.line|Мозоль Толя: Спасибо! А теперь слушай легенду о «Тиче»...
quest.sacred.offer.title|Священная бутылка
quest.sacred.offer.body|В девяностых спрятали редкий «Тич». На карте пять крестиков.\nНажми M, чтобы открыть карту. Не верь каждому тайнику.
quest.sacred.offer.v2.title|Священная бутылка
quest.sacred.offer.v2.body|В девяностых спрятали редкий «Тич». На карте пять крестиков.\nНажми M, чтобы открыть карту. Не верь каждому тайнику.
quest.sacred.map.title|Потрёпанная карта девяностых
quest.sacred.hint.0|Где северная кладка холоднее ночи, ищи первую метку.
quest.sacred.hint.1|Теперь к ларьку: там хмель слышит каждый шорох.
quest.sacred.hint.2|Под южным деревом земля помнит чужие сапоги.
quest.sacred.hint.3|Где трактор оставил след, копни у края площади.
quest.sacred.hint.4|Последний крестик — в старой южной кладке.
quest.sacred.progress.title|Карта старого «Тича»
quest.sacred.progress.body|Следующий крестик светится на площади. Проверь тайник.
quest.sacred.finish.title|Священная бутылка
quest.sacred.finish.body|Бутылка пустая. Зато за ней был ключ от подвала.\nТоля показывает вход на северо-востоке площади.
quest.sacred.done.body|Подвал открыт на северо-востоке площади.
quest.sacred.finish.line|Толя: Пустая, зараза! Но ключ настоящий. Иди в подвал.
sacred.cache.0|Под камнем только старая пробка. На ней: «Ищи у ларька».
sacred.cache.1|Тайник пуст. На ящике нацарапано: «Южная кладка».
sacred.cache.2|Под корнями лишь обрывок карты. На нём — тракторный след.
sacred.cache.2.v2|Под корнями лишь обрывок карты. На нём — тракторный след.
sacred.cache.3|Тут только ржавая жестянка. На донышке — южная кладка.
sacred.cache.4|Легендарный «Тич» найден. Пустой. Но за ним лежит ключ от подвала.
quest.ebobo.offer.title|Вятский ЕБобо: НЛО над Зуевкой
quest.ebobo.offer.body|Я видел НЛО! Сфотографируй четыре подозрительных места.\nНачни с огня у вокзала. Ночью, само собой.
quest.ebobo.progress.title|Вятский ЕБобо: НЛО
quest.ebobo.progress.body|Снимков: {count}/{total}. Ищи серебряный значок камеры.
quest.ebobo.finish.title|Вятский ЕБобо: НЛО
quest.ebobo.finish.body|Фонарь, пакет, трактор... Но что было за спиной\nна последнем снимке? ЕБобо верит тебе.
quest.ebobo.done.body|Ну и кто теперь скажет, что я всё придумал?
quest.ebobo.finish.line|ЕБобо: Говорил же! Только последний кадр у тебя смазанный.
ebobo.photo.0|Щёлк! Инопланетный луч оказался старым фонарём.
ebobo.photo.1|Щёлк! Это пакет, застрявший на дереве.
ebobo.photo.2|Щёлк! Не корабль, а трактор соседа.
ebobo.photo.3|Алкосмен отвернулся. За спиной пролетело НЕЧТО...
quest.secret.enter|Ключ подошёл. Ты открыл заброшенный подвал Зуевки.
quest.secret.exit|Ты вернулся на ночную площадь.
